config,sharpe,fold_median,frac_pos,worst_fold,growth_week,max_dd,ann_vol,avg_lev,frac_flat,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
vol 60%/w60 +van,0.9475910076087798,0.7377803172510218,0.875,0.0,0.00643898528757739,0.3570937529253343,0.4499333822590803,0.7230738057660429,0.6983729662077597,1.8187213878444175,0.0,0.8336709032993608,0.38233055225573753,0.05055845207871879,0.7338509496392249,0.7417096848628185,1.643866744598611
vol 60%/w90,1.4574832821956065,0.9035312416815091,0.875,0.0,0.01314609732544388,0.36140210246926063,0.5778863462488218,1.1653111193903922,0.47058823529411764,2.8875194009975393,2.4435595857538814,0.9924263414835632,0.39254982493141843,2.4846465588209385,0.28354864611103114,0.8146361418794551,0.0
vol 60%/w90 +van,0.824747997989274,0.5666508815324027,0.625,-0.2878679827512492,0.004262573309189936,0.30648714553321965,0.3381698463733515,0.5986229575077614,0.7346683354192741,1.7915289104082393,0.0,0.9676940560205289,0.5690882073374762,1.2330086710152561,0.5642135557273291,-0.2878679827512492,0.0
vol 80%/w20,1.2991095890826074,1.1477831346366245,1.0,0.052565879930163144,0.01526789293331822,0.7449302152536901,0.9093951742622387,2.2183544949018237,0.22903629536921152,2.642036870259796,1.764632953857702,1.4648805652624242,0.7145494969009032,2.1565154720415944,0.052565879930163144,0.8306857040108248,0.6319441321307915
vol 80%/w20 +van,0.9046320898264114,0.7557226926189176,0.875,-0.9940672917306621,0.006852267060184889,0.4528218280571956,0.5767488221413464,1.072890374540681,0.6120150187734669,1.846968208333048,0.6694408849528369,1.5068697062815128,1.10180932284529,0.7362615983817054,0.7751837868561298,0.36977935630867614,-0.9940672917306621
vol 80%/w40,1.5473359387102248,1.3183037865491993,1.0,0.4874951541685554,0.019515662335879123,0.6456671277882398,0.8861343925593955,2.087022561797332,0.23153942428035043,2.626810664492869,3.6658209808848756,1.5807987313180458,0.4874951541685554,2.3928280673279407,0.6145142468301088,1.055808841780353,1.0275393273497107
vol 80%/w40 +van,0.8666701449905554,0.849782571119877,0.75,-1.4522228121208904,0.0058777815334507015,0.4149639597598578,0.48640848453743485,0.8547967092338883,0.6758448060075094,1.6835019866212129,2.6311320467561194,1.124657023157865,0.694499969316177,1.005065172923577,-0.8376523198524356,0.5982144873265853,-1.4522228121208904
vol 80%/w60,1.464092563420351,1.1112913626946206,1.0,0.20654803622793944,0.018251860485632473,0.5929228987078444,0.908139602726731,2.051938932062274,0.21401752190237797,2.770992514366818,0.9141371279307776,1.4905820092737838,0.20654803622793944,2.4489171330054553,0.7945719396700339,1.0770334437844697,1.1455492816047717
vol 80%/w60 +van,0.605022530251639,0.617146919444242,0.75,-1.9102402738956739,0.0032629326587581293,0.45007065440915217,0.4465674542644091,0.8106467441376133,0.7021276595744681,1.531534491722202,1.5200429962031845,0.8689931213560743,0.6546766891714453,-0.12264925414971382,0.5796171497170389,0.28653302677525544,-1.9102402738956739
vol 80%/w90,1.4751408332556748,1.209859239398858,0.875,-0.2811704120358721,0.01788985870857823,0.5927581341787331,0.8822840067279976,1.8773340138729744,0.26032540675844806,2.715174300977366,1.613661533602716,1.3139550609008996,0.3925498249314185,2.5708710369224055,-0.2811704120358721,1.1057634178968165,0.8441315966718393
vol 80%/w90 +van,1.003194643166617,1.1072202943325182,0.875,-0.7357962023654057,0.008372593041628577,0.44690217009856736,0.5976902773160157,0.8554465620264601,0.6533166458072591,1.4970302636114488,1.8689712426643297,0.4169869236933872,0.18805784814452123,1.7026390086995922,-0.7357962023654057,0.7174103250535877,1.5625456064277201
vol 90%/w20,1.3123572618473391,1.1520133800545687,1.0,0.059059832058308004,0.016389525052344107,0.7659834729129584,1.0364219197720828,2.5709162317156102,0.16145181476846057,2.7399818232539457,1.0558596472045743,1.482747395962878,0.6658860608282952,2.3584969744539843,0.059059832058308004,1.248167112904563,0.6319441321307915
vol 90%/w20 +van,0.696409026754062,0.7799251067459103,0.625,-1.0346759480728474,0.004470531217155026,0.6422660286593438,0.559643744256791,0.9068014578814823,0.7008760951188986,1.7792460782844006,0.6694408849528372,0.8904093285389834,1.300594725263713,1.1674738496264436,-0.4591387854808348,-1.0346759480728474,-0.7426453343892546
vol 90%/w40,1.53186974654761,1.3522779714024404,1.0,0.48749515416855566,0.020860634919039507,0.7145375648912564,1.017920477571646,2.4330166581916783,0.16270337922403003,2.7786602139916234,2.2170753291820486,1.5807987313180456,0.48749515416855566,2.3928280673279403,0.6640776220025312,1.1237572114868353,0.9368591039445568
vol 90%/w40 +van,0.8545518129662557,0.4927772834663929,0.5,-0.8416382944346547,0.006983110387066289,0.7467826968177596,0.6270713167737383,0.878367785444225,0.6770963704630788,1.564930884066532,2.970327599199509,1.1632630835229871,-0.3624053974558863,-0.289839447315256,-0.8416382944346547,-0.1777085165902014,1.5123253154482066
vol 90%/w60,1.5676389954518106,1.318065645439278,1.0,0.20654803622793938,0.02160022819866554,0.6405340987302333,1.0206560891787348,2.2987360017194174,0.19899874843554444,2.7740410028107734,1.912539307657679,1.4905820092737845,0.20654803622793938,2.599398868753758,0.7945719396700333,1.07703344378447,1.1455492816047717
vol 90%/w60 +van,0.7079389491232329,0.6157829598673874,0.75,-1.8676640780960538,0.004355717901607234,0.4920441905595261,0.4889276251717468,0.8263882338281796,0.7071339173967459,1.5575715982229863,2.2896532028325884,0.8410623890255271,0.6953422906390306,-0.1766559853922874,0.5362236290957442,0.2888580522112977,-1.8676640780960538
vol 90%/w90,1.514597407222668,1.2468680562034422,1.0,0.29671069451469867,0.02010809818278106,0.6406533680163746,1.0213004310879037,2.2696940844927953,0.14893617021276595,2.7083082261926053,1.3879726945100677,1.4841315610668302,0.3925498249314186,2.7284643322529547,0.29671069451469867,1.1057634178968168,0.8441315966718393
vol 90%/w90 +van,0.9759767078424819,0.9079309263689986,0.875,-1.1622604869249273,0.007091914709469007,0.3781439579524615,0.518077046718598,0.8985118606824097,0.6445556946182729,1.5235969774320766,1.1025270739170803,1.4497601205981332,0.46012280411445156,1.4980622869491598,0.713334778820917,0.508691886672235,-1.1622604869249273
vol 100%/w20,1.2389836589400247,0.9556818523438251,0.875,-0.008361390136190453,0.01531950467658451,0.8247018438397822,1.145331359574726,2.8543944427875316,0.13266583229036297,2.6727912422846156,1.0040777006243746,1.4783997099948067,0.6065913203281816,2.345059123437977,-0.008361390136190453,0.9072860040632755,0.6677780645213512
vol 100%/w20 +van,0.6542085861197261,0.7877143819617272,0.625,-1.096237348427217,0.004038451370651288,0.695906647972885,0.6020697212851587,0.9042757607013583,0.7221526908635795,1.6812495814251052,0.6694408849528369,0.9059878789706173,1.2429959096547043,1.1590847191774227,-0.43269780667452884,-1.008127421155133,-1.096237348427217
vol 100%/w40,1.4569283540569296,1.2388301528189993,1.0,0.48491323421349375,0.020464708488789795,0.7556105512424138,1.1430260364169587,2.7076305978655286,0.1414267834793492,2.7561305230108992,1.3539030941511636,1.5760852693773086,0.48491323421349375,2.388654052221004,0.664077622002531,1.1237572114868353,0.9368591039445568
