c_lookback,c_min_periods,c_t_threshold,c_max_abs_weight,c_max_step,p_mode,p_n_positions,p_max_weight,p_vol_window,p_z_clip,p_vol_floor_pct,sharpe_train,sharpe_holdout,n_train,n_holdout,status
250,120,1.5,0.2,0.05,rank_riskparity,20,0.15,40,3.0,0.1,1.841009642934966,1.4051251343303128,580,219,ok
250,120,1.5,0.2,0.05,zscore_riskparity,8,0.2,40,3.0,0.1,2.041890875310634,0.7593397466116284,580,219,ok
250,120,1.5,0.2,0.05,zscore_riskparity,8,0.15,60,3.0,0.05,2.0414529459200725,0.8330425964411458,580,219,ok
250,120,1.5,0.2,0.05,rank_riskparity,20,0.15,60,2.5,0.2,1.8568736901606637,1.4665227476851124,580,219,ok
250,120,1.5,0.2,0.05,rank_binary,8,0.3,40,3.0,0.2,2.087833348439464,0.8719489478926007,580,219,ok
250,120,1.5,0.2,0.05,zscore_riskparity,16,0.3,60,2.0,0.1,2.2259705594404515,1.1529226044574332,580,219,ok
750,180,2.5,0.15,0.03,zscore_riskparity,8,0.3,40,2.5,0.1,1.700732188849601,1.5511965149297535,580,219,ok
750,180,2.5,0.15,0.03,rank_binary,8,0.2,60,2.5,0.1,1.702861472167008,1.326821100595048,580,219,ok
750,180,2.5,0.15,0.03,rank_riskparity,8,0.3,60,2.5,0.1,1.6348457214683565,1.4739415050317606,580,219,ok
750,180,2.5,0.15,0.03,rank_riskparity,20,0.2,90,3.0,0.05,1.5560437287049764,1.7357369213528708,580,219,ok
750,180,2.5,0.15,0.03,rank_riskparity,8,0.15,40,3.0,0.1,1.6567733513371865,1.547951373335644,580,219,ok
750,180,2.5,0.15,0.03,rank_binary,12,0.2,40,3.0,0.1,1.7295664626297251,1.759503843405781,580,219,ok
750,180,2.5,0.15,0.03,rank_binary,12,0.15,40,2.5,0.2,1.7295664626297251,1.759503843405781,580,219,ok
750,180,2.5,0.15,0.03,rank_riskparity,8,0.15,60,2.5,0.1,1.6852242082016295,1.4711120621843308,580,219,ok
750,180,2.5,0.15,0.03,zscore,12,0.2,60,2.5,0.05,1.8073871001668147,1.586704397308778,580,219,ok
750,180,2.5,0.15,0.03,zscore,20,0.15,40,2.5,0.2,1.8104387711220506,1.5540997805901078,580,219,ok
375,80,1.0,0.2,0.03,zscore_riskparity,20,0.3,60,2.5,0.05,2.2593583408462083,1.5404077964023515,580,219,ok
375,80,1.0,0.2,0.03,rank_binary,16,0.15,90,2.5,0.1,2.457543198138566,1.8544163586170124,580,219,ok
375,80,1.0,0.2,0.03,rank_riskparity,16,0.15,60,2.5,0.05,2.333597069444897,1.8174878549273994,580,219,ok
375,80,1.0,0.2,0.03,zscore,8,0.3,40,2.5,0.05,2.0945394627283953,1.4982640719300349,580,219,ok
375,80,1.0,0.2,0.03,rank_binary,12,0.3,60,2.5,0.1,2.174961052074543,2.1224627339965734,580,219,ok
375,80,1.0,0.2,0.03,rank_riskparity,16,0.15,60,2.5,0.1,2.3712375128526006,1.81627980870117,580,219,ok
375,80,1.0,0.2,0.03,zscore,8,0.2,90,3.0,0.1,2.096044700304985,1.4384129240437546,580,219,ok
375,80,1.0,0.2,0.03,zscore_riskparity,8,0.3,90,3.0,0.1,2.1005875808110246,1.4922670123155715,580,219,ok
375,80,1.0,0.2,0.03,zscore,8,0.2,40,3.0,0.1,2.070825032082675,1.4384129240437546,580,219,ok
375,80,1.0,0.2,0.03,zscore,20,0.3,90,2.0,0.2,2.4189946641446625,1.6077194408618563,580,219,ok
375,120,1.5,0.45,0.03,zscore,16,0.2,90,2.0,0.1,2.236543190170265,1.2007979500350394,580,219,ok
375,120,1.5,0.45,0.03,rank_binary,8,0.3,90,3.0,0.2,2.067919312046793,1.1823381139295972,580,219,ok
375,120,1.5,0.45,0.03,rank_riskparity,8,0.2,60,2.0,0.05,1.9516381260177906,1.1436233751586158,580,219,ok
375,120,1.5,0.45,0.03,zscore_riskparity,16,0.15,90,2.0,0.1,2.079921794868514,1.219151347695279,580,219,ok
375,120,1.5,0.45,0.03,rank_binary,20,0.15,90,3.0,0.2,1.912727287602178,1.2009151185993983,580,219,ok
375,120,1.5,0.45,0.03,zscore,12,0.3,40,2.0,0.2,2.1784247156842174,1.4669831133151436,580,219,ok
375,120,1.5,0.45,0.03,zscore_riskparity,20,0.15,40,2.0,0.1,2.004638565063478,1.1945770919356804,580,219,ok
375,120,1.5,0.45,0.03,zscore_riskparity,16,0.2,60,2.5,0.05,2.0047777982319297,1.1236033664186698,580,219,ok
375,120,1.5,0.45,0.03,zscore,8,0.3,40,3.0,0.2,2.0263929994766245,1.0217290821667682,580,219,ok
375,120,1.5,0.45,0.03,zscore,16,0.3,40,2.0,0.1,2.223236470078285,1.2007979500350394,580,219,ok
500,120,1.0,0.3,0.03,zscore_riskparity,12,0.2,60,3.0,0.1,2.198837339901998,1.1571175515170737,580,219,ok
500,120,1.0,0.3,0.03,rank_binary,20,0.3,60,3.0,0.2,2.446344575618499,1.4295816348339965,580,219,ok
500,120,1.0,0.3,0.03,zscore,8,0.15,60,2.0,0.05,2.003801235923035,1.2082764339398802,580,219,ok
500,120,1.0,0.3,0.03,rank_riskparity,16,0.3,40,2.0,0.05,2.365189379225353,1.3972610800805714,580,219,ok
500,120,1.0,0.3,0.03,zscore_riskparity,20,0.3,40,3.0,0.05,2.349251798339562,1.3923485423851987,580,219,ok
